,art_url,Amusement,Anger,Awe,Contentment,Disgust,Excitement,Fear,Sadness,Something Else,utterance,type
0,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000101.png,False,False,False,False,False,False,False,False,True,I can't figure out the image.,StyleGAN2
1,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000101.png,False,False,False,False,False,False,False,False,True,"neutral feeling, the bland colors and no concrete subject make me lose interest in the piece",StyleGAN2
2,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000101.png,False,False,False,False,False,True,False,False,False,This image shows like excitement,StyleGAN2
3,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000101.png,True,False,False,False,False,False,False,False,False,The orange area looks like a cartoon character.  Which makes me laugh.,StyleGAN2
4,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000101.png,False,False,False,False,False,True,False,False,False,Good,StyleGAN2
5,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000892.png,False,False,False,False,False,False,False,True,False,Looks unhappy or mad,StyleGAN2
6,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000892.png,False,False,False,False,False,False,False,False,True,confusing. it looks like a monkey and its hard to tell what the art is about,StyleGAN2
7,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000892.png,False,False,False,False,False,False,True,False,False,VERY UNUSUAL CREATURE CAPTIVE TO STRESFUL SURROUNDINGS,StyleGAN2
8,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000892.png,False,False,False,False,False,False,False,False,True,This is confusing because the image looks like there's a man's face in a bean pod?,StyleGAN2
9,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000892.png,False,False,False,False,False,False,False,True,False,themountainsresembleamanbeatingthebluefigurewhichappearstobeasmallwoman.,StyleGAN2
10,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/lowest_NN_dist000501.png,False,False,False,False,True,False,False,False,False,The look of a stained bathroom wall that has sat for many years.,StyleGAN2
11,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/lowest_NN_dist000501.png,False,False,False,False,False,False,False,False,True,Very indifferent colours in the centre but the green at the top is harsh and flourescent like cartoon radioactive waste,StyleGAN2
12,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/lowest_NN_dist000501.png,False,False,False,True,False,False,False,False,False,the strokes of green and orange are welcoming,StyleGAN2
13,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/lowest_NN_dist000501.png,False,False,False,False,True,False,False,False,False,I feel disgusted when looking at this painting because the color that they chose reminds me of a stain on a wall that has been there for a long time.,StyleGAN2
14,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/lowest_NN_dist000501.png,False,False,False,False,False,False,False,True,False,The painting reminds me of fading away or decaying. The thin faded lines reminds me of getting older.,StyleGAN2
15,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000598.png,False,False,False,False,False,False,True,False,False,That fact that I can't make anything out of the picture makes me uneasy along with the minimal shading.,StyleGAN2
16,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000598.png,False,False,False,True,False,False,False,False,False,This one i like it looks like asmall house with the lady in front of it,StyleGAN2
17,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000598.png,True,False,False,False,False,False,False,False,False,The dark blue patch reminds me of an ink blot picture while the white on the right hand side looks like a funny character in a mask with a long nose,StyleGAN2
18,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000598.png,False,False,False,True,False,False,False,False,False,"The dark color in the middle draws my eyes, and the light figures around it makes me feel calm and surrounded by warmth",StyleGAN2
19,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000598.png,True,False,False,False,False,False,False,False,False,Image reminds me of jumping rope in elementry school.,StyleGAN2
20,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000043.png,False,False,False,False,True,False,False,False,False,The objects look like old animal dung in burrito wraps being passed off as food.,StyleGAN2
21,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000043.png,False,False,False,False,False,False,False,False,True,Looks like food and makes me feel hungry,StyleGAN2
22,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000043.png,False,False,False,False,False,False,False,False,True,"I do not know what this is supposed to be but the common tone colors of the picture make me feel a little bored. There is no contrasting colors, no bold markings to catch my attention.",StyleGAN2
23,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000043.png,False,False,False,False,True,False,False,False,False,The first came to mind was internal body parts and I felt disgusted,StyleGAN2
24,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000043.png,False,False,False,False,False,False,False,False,True,The drab colors and the boring background makes for a dull sence,StyleGAN2
25,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000212.png,False,False,False,True,False,False,False,False,False,The green trees and blue sky set a peaceful and calming atmosphere reminding me of time spent in nature.,StyleGAN2
26,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000212.png,False,False,False,True,False,False,False,False,False,the green trees and abundant vegetation resembles a nice weather day and one can almost smell the fresh air by looking at the painting,StyleGAN2
27,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000212.png,False,False,False,False,False,True,False,False,False,I want to go for a walk in this painting. The trees look inviting.,StyleGAN2
28,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000212.png,False,False,False,False,False,False,True,False,False,It looks like ominous darkly shadowed trees by a creek in a bad dream that is about to get worse.,StyleGAN2
29,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/random000212.png,False,False,False,True,False,False,False,False,False,This image reminds me of the moss covered trees of those in the South.,StyleGAN2
30,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/lowest_NN_dist000769.png,False,False,False,True,False,False,False,False,False,The orange field looks like fruit,StyleGAN2
31,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/lowest_NN_dist000769.png,False,False,True,False,False,False,False,False,False,It is a beautiful piece of artwork.,StyleGAN2
